product_id,manufacturer,management_group
prod_5938,manufacturer_232,group_232
prod_5480,manufacturer_233,group_233
prod_4476,manufacturer_234,group_234
prod_3413,manufacturer_235,group_235
prod_4566,manufacturer_236,group_236
prod_7185,manufacturer_237,group_237
prod_1299,manufacturer_238,group_238
prod_2475,manufacturer_239,group_239
prod_2555,manufacturer_240,group_240
prod_9338,manufacturer_241,group_241
prod_9722,manufacturer_242,group_242
prod_2682,manufacturer_243,group_243
prod_6008,manufacturer_244,group_244
prod_7505,manufacturer_245,group_245
prod_1822,manufacturer_246,group_246
prod_5542,manufacturer_247,group_247
prod_8938,manufacturer_248,group_248
prod_4293,manufacturer_249,group_249
prod_6026,manufacturer_250,group_250
prod_8590,manufacturer_251,group_251
prod_8979,manufacturer_252,group_252
prod_3922,manufacturer_253,group_253
prod_4907,manufacturer_254,group_254
prod_7484,manufacturer_255,group_255
prod_4770,manufacturer_256,group_256
prod_2472,manufacturer_257,group_257
prod_7577,manufacturer_258,group_258
prod_1807,manufacturer_259,group_259
prod_1170,manufacturer_260,group_260
prod_8627,manufacturer_261,group_261
prod_8505,manufacturer_262,group_262
prod_8996,manufacturer_263,group_263
prod_9086,manufacturer_264,group_264
prod_9899,manufacturer_265,group_265
prod_4934,manufacturer_266,group_266
prod_3593,manufacturer_267,group_267
prod_2015,manufacturer_268,group_268
prod_2379,manufacturer_269,group_269
prod_1900,manufacturer_270,group_270
prod_1613,manufacturer_271,group_271
prod_3108,manufacturer_272,group_272
prod_4140,manufacturer_273,group_273
prod_9911,manufacturer_274,group_274
prod_3717,manufacturer_275,group_275
prod_8174,manufacturer_276,group_276
prod_2533,manufacturer_277,group_277
prod_5867,manufacturer_278,group_278
prod_5634,manufacturer_279,group_279
prod_2240,manufacturer_280,group_280
prod_3536,manufacturer_281,group_281
prod_2868,manufacturer_282,group_282
prod_1276,manufacturer_283,group_283
prod_6273,manufacturer_284,group_284
prod_6468,manufacturer_285,group_285
prod_7259,manufacturer_286,group_286
prod_2947,manufacturer_287,group_287
prod_2109,manufacturer_288,group_288
prod_5609,manufacturer_289,group_289
prod_7369,manufacturer_290,group_290
prod_1259,manufacturer_291,group_291
prod_7192,manufacturer_292,group_292
prod_1331,manufacturer_293,group_293
prod_6801,manufacturer_294,group_294
prod_6075,manufacturer_295,group_295
prod_5714,manufacturer_296,group_296
prod_4923,manufacturer_297,group_297
prod_7559,manufacturer_298,group_298
prod_9779,manufacturer_299,group_299
prod_9092,manufacturer_300,group_300
prod_8016,manufacturer_301,group_301
prod_2851,manufacturer_302,group_302
prod_7031,manufacturer_303,group_303
prod_2052,manufacturer_304,group_304
prod_9105,manufacturer_305,group_305
prod_7199,manufacturer_306,group_306
prod_3683,manufacturer_307,group_307
prod_7025,manufacturer_308,group_308
prod_5217,manufacturer_309,group_309
prod_1668,manufacturer_310,group_310
prod_4974,manufacturer_311,group_311
prod_4783,manufacturer_312,group_312
prod_8905,manufacturer_313,group_313
prod_5616,manufacturer_314,group_314
prod_2321,manufacturer_315,group_315
prod_6903,manufacturer_316,group_316
prod_9897,manufacturer_317,group_317
prod_3995,manufacturer_318,group_318
prod_2786,manufacturer_319,group_319
prod_8360,manufacturer_320,group_320
prod_7377,manufacturer_321,group_321
prod_3897,manufacturer_322,group_322
prod_7177,manufacturer_323,group_323
prod_3714,manufacturer_324,group_324
prod_5658,manufacturer_325,group_325
prod_5427,manufacturer_326,group_326
prod_4326,manufacturer_327,group_327
prod_6199,manufacturer_328,group_328
prod_1448,manufacturer_329,group_329
prod_7071,manufacturer_330,group_330
prod_7830,manufacturer_331,group_331
prod_4425,manufacturer_332,group_332
prod_4862,manufacturer_333,group_333
prod_1234,manufacturer_334,group_334
prod_3912,manufacturer_335,group_335
prod_2021,manufacturer_336,group_336
prod_5749,manufacturer_337,group_337
prod_9983,manufacturer_338,group_338
prod_8784,manufacturer_339,group_339
prod_4677,manufacturer_340,group_340
prod_9602,manufacturer_341,group_341
prod_2715,manufacturer_342,group_342
prod_1757,manufacturer_343,group_343
prod_7319,manufacturer_344,group_344
prod_4378,manufacturer_345,group_345
prod_9440,manufacturer_346,group_346
prod_8995,manufacturer_347,group_347
prod_4887,manufacturer_348,group_348
prod_2650,manufacturer_349,group_349
prod_5235,manufacturer_350,group_350
prod_8725,manufacturer_351,group_351
prod_7113,manufacturer_352,group_352
prod_2450,manufacturer_353,group_353
prod_1021,manufacturer_354,group_354
prod_7265,manufacturer_355,group_355
prod_3022,manufacturer_356,group_356
prod_3307,manufacturer_357,group_357
prod_9537,manufacturer_358,group_358
prod_7494,manufacturer_359,group_359
prod_5972,manufacturer_360,group_360
prod_9488,manufacturer_361,group_361
prod_7872,manufacturer_362,group_362
prod_9277,manufacturer_363,group_363
prod_7934,manufacturer_364,group_364
prod_4269,manufacturer_365,group_365
prod_3684,manufacturer_366,group_366
prod_4342,manufacturer_367,group_367
prod_1792,manufacturer_368,group_368
prod_2452,manufacturer_369,group_369
prod_7972,manufacturer_370,group_370
prod_1067,manufacturer_371,group_371
prod_7050,manufacturer_372,group_372
prod_6636,manufacturer_373,group_373
prod_2424,manufacturer_374,group_374
prod_2400,manufacturer_375,group_375
prod_4266,manufacturer_376,group_376
prod_4646,manufacturer_377,group_377
prod_4480,manufacturer_378,group_378
prod_9521,manufacturer_379,group_379
prod_5155,manufacturer_380,group_380
prod_4947,manufacturer_381,group_381
prod_4188,manufacturer_382,group_382
prod_7964,manufacturer_383,group_383
prod_9043,manufacturer_384,group_384
prod_3038,manufacturer_385,group_385
prod_2601,manufacturer_386,group_386
prod_3198,manufacturer_387,group_387
prod_8883,manufacturer_388,group_388
prod_6215,manufacturer_389,group_389
prod_7804,manufacturer_390,group_390
prod_2085,manufacturer_391,group_391
prod_6985,manufacturer_392,group_392
prod_5628,manufacturer_393,group_393
prod_9955,manufacturer_394,group_394
prod_2667,manufacturer_395,group_395
prod_4283,manufacturer_396,group_396
prod_1728,manufacturer_397,group_397
prod_4568,manufacturer_398,group_398
prod_2223,manufacturer_399,group_399
prod_7327,manufacturer_400,group_400
prod_2566,manufacturer_401,group_401
prod_6889,manufacturer_402,group_402
prod_7304,manufacturer_403,group_403
prod_1840,manufacturer_404,group_404
prod_7109,manufacturer_405,group_405
prod_7383,manufacturer_406,group_406
prod_1255,manufacturer_407,group_407
prod_3345,manufacturer_408,group_408
prod_7454,manufacturer_409,group_409
prod_7186,manufacturer_410,group_410
prod_8315,manufacturer_411,group_411
prod_1147,manufacturer_412,group_412
prod_4221,manufacturer_413,group_413
prod_3919,manufacturer_414,group_414
prod_7539,manufacturer_415,group_415
prod_8663,manufacturer_416,group_416
prod_3830,manufacturer_417,group_417
prod_7016,manufacturer_418,group_418
prod_7187,manufacturer_419,group_419
prod_6078,manufacturer_420,group_420
prod_9725,manufacturer_421,group_421
prod_8409,manufacturer_422,group_422
prod_9004,manufacturer_423,group_423
prod_9853,manufacturer_424,group_424
prod_7836,manufacturer_425,group_425
prod_1362,manufacturer_426,group_426
prod_1738,manufacturer_427,group_427
prod_3473,manufacturer_428,group_428
prod_7600,manufacturer_429,group_429
prod_9243,manufacturer_430,group_430
prod_9660,manufacturer_431,group_431
prod_1580,manufacturer_432,group_432
prod_9005,manufacturer_433,group_433
prod_7272,manufacturer_434,group_434
prod_9701,manufacturer_435,group_435
prod_6790,manufacturer_436,group_436
prod_6110,manufacturer_437,group_437
prod_6976,manufacturer_438,group_438
prod_3490,manufacturer_439,group_439
prod_7654,manufacturer_440,group_440
prod_9155,manufacturer_441,group_441
prod_8314,manufacturer_442,group_442
prod_1932,manufacturer_443,group_443
prod_2589,manufacturer_444,group_444
prod_9925,manufacturer_445,group_445
prod_5940,manufacturer_446,group_446
prod_8213,manufacturer_447,group_447
prod_2869,manufacturer_448,group_448
prod_1090,manufacturer_449,group_449
prod_8552,manufacturer_450,group_450
prod_3435,manufacturer_451,group_451
prod_4762,manufacturer_452,group_452
prod_9067,manufacturer_453,group_453
prod_3591,manufacturer_454,group_454
prod_2054,manufacturer_455,group_455
prod_2891,manufacturer_456,group_456
prod_8614,manufacturer_457,group_457
prod_6524,manufacturer_458,group_458
prod_1605,manufacturer_459,group_459
prod_3394,manufacturer_460,group_460
prod_2296,manufacturer_461,group_461
prod_6838,manufacturer_462,group_462
prod_7013,manufacturer_463,group_463
prod_8448,manufacturer_464,group_464
prod_8114,manufacturer_465,group_465
prod_5621,manufacturer_466,group_466
prod_9254,manufacturer_467,group_467
prod_1593,manufacturer_468,group_468
prod_8496,manufacturer_469,group_469
prod_2593,manufacturer_470,group_470
prod_1191,manufacturer_471,group_471
prod_1691,manufacturer_472,group_472
prod_8713,manufacturer_473,group_473
prod_8499,manufacturer_474,group_474
prod_7431,manufacturer_475,group_475
prod_9872,manufacturer_476,group_476
prod_2626,manufacturer_477,group_477
prod_1857,manufacturer_478,group_478
prod_8086,manufacturer_479,group_479
prod_8456,manufacturer_480,group_480
prod_5391,manufacturer_481,group_481
prod_4454,manufacturer_482,group_482
prod_7164,manufacturer_483,group_483
prod_2124,manufacturer_484,group_484
prod_5275,manufacturer_485,group_485
prod_2431,manufacturer_486,group_486
prod_1936,manufacturer_487,group_487
prod_1099,manufacturer_488,group_488
prod_4524,manufacturer_489,group_489
prod_5301,manufacturer_490,group_490
prod_6345,manufacturer_491,group_491
prod_5111,manufacturer_492,group_492
prod_8373,manufacturer_493,group_493
prod_1408,manufacturer_494,group_494
prod_6194,manufacturer_495,group_495
prod_3059,manufacturer_496,group_496
prod_9256,manufacturer_497,group_497
prod_9108,manufacturer_498,group_498
prod_6170,manufacturer_499,group_499
prod_9462,manufacturer_500,group_500
prod_2180,manufacturer_501,group_501
prod_9010,manufacturer_502,group_502
prod_9871,manufacturer_503,group_503
prod_4292,manufacturer_504,group_504
prod_1437,manufacturer_505,group_505
prod_8153,manufacturer_506,group_506
prod_8059,manufacturer_507,group_507
prod_4387,manufacturer_508,group_508
prod_5912,manufacturer_509,group_509
prod_6538,manufacturer_510,group_510
prod_7098,manufacturer_511,group_511
prod_7651,manufacturer_512,group_512
prod_1154,manufacturer_513,group_513
prod_7126,manufacturer_514,group_514
prod_5382,manufacturer_515,group_515
prod_9998,manufacturer_516,group_516
prod_9066,manufacturer_517,group_517
prod_7661,manufacturer_518,group_518
prod_7370,manufacturer_519,group_519
prod_2986,manufacturer_520,group_520
prod_7174,manufacturer_521,group_521
prod_9414,manufacturer_522,group_522
prod_5322,manufacturer_523,group_523
prod_9395,manufacturer_524,group_524
prod_3873,manufacturer_525,group_525
prod_8073,manufacturer_526,group_526
prod_3562,manufacturer_527,group_527
prod_6797,manufacturer_528,group_528
prod_9621,manufacturer_529,group_529
prod_6343,manufacturer_530,group_530
prod_5171,manufacturer_531,group_531
prod_4683,manufacturer_532,group_532
prod_2981,manufacturer_533,group_533
prod_5135,manufacturer_534,group_534
prod_6146,manufacturer_535,group_535
prod_3613,manufacturer_536,group_536
prod_5632,manufacturer_537,group_537
prod_3115,manufacturer_538,group_538
prod_6318,manufacturer_539,group_539
prod_1395,manufacturer_540,group_540
prod_8926,manufacturer_541,group_541
prod_3698,manufacturer_542,group_542
prod_9185,manufacturer_543,group_543
prod_4527,manufacturer_544,group_544
prod_5247,manufacturer_545,group_545
prod_8095,manufacturer_546,group_546
prod_5340,manufacturer_547,group_547
prod_7685,manufacturer_548,group_548
prod_7998,manufacturer_549,group_549
prod_6357,manufacturer_550,group_550
prod_1085,manufacturer_551,group_551
prod_2090,manufacturer_552,group_552
prod_3026,manufacturer_553,group_553
prod_1946,manufacturer_554,group_554
prod_8904,manufacturer_555,group_555
prod_4729,manufacturer_556,group_556
prod_7008,manufacturer_557,group_557
prod_8104,manufacturer_558,group_558
prod_6512,manufacturer_559,group_559
prod_5727,manufacturer_560,group_560
prod_8294,manufacturer_561,group_561
prod_6089,manufacturer_562,group_562
prod_8520,manufacturer_563,group_563
prod_8217,manufacturer_564,group_564
prod_9375,manufacturer_565,group_565
prod_4220,manufacturer_566,group_566
prod_5051,manufacturer_567,group_567
prod_5659,manufacturer_568,group_568
prod_2757,manufacturer_569,group_569
prod_7313,manufacturer_570,group_570
prod_2389,manufacturer_571,group_571
prod_8858,manufacturer_572,group_572
prod_6412,manufacturer_573,group_573
prod_1832,manufacturer_574,group_574
prod_6783,manufacturer_575,group_575
prod_7744,manufacturer_576,group_576
prod_9673,manufacturer_577,group_577
prod_9048,manufacturer_578,group_578
prod_8757,manufacturer_579,group_579
prod_6033,manufacturer_580,group_580
prod_1667,manufacturer_581,group_581
prod_4829,manufacturer_582,group_582
prod_1407,manufacturer_583,group_583
prod_2998,manufacturer_584,group_584
prod_9894,manufacturer_585,group_585
prod_8316,manufacturer_586,group_586
prod_4804,manufacturer_587,group_587
prod_8238,manufacturer_588,group_588
prod_7945,manufacturer_589,group_589
prod_4486,manufacturer_590,group_590
prod_5012,manufacturer_591,group_591
prod_3808,manufacturer_592,group_592
prod_1773,manufacturer_593,group_593
prod_1805,manufacturer_594,group_594
prod_1586,manufacturer_595,group_595
prod_7097,manufacturer_596,group_596
prod_4265,manufacturer_597,group_597
prod_4840,manufacturer_598,group_598
prod_1445,manufacturer_599,group_599
prod_3347,manufacturer_600,group_600
prod_4250,manufacturer_601,group_601
prod_2932,manufacturer_602,group_602
prod_8787,manufacturer_603,group_603
prod_6289,manufacturer_604,group_604
prod_3360,manufacturer_605,group_605
prod_2655,manufacturer_606,group_606
prod_4305,manufacturer_607,group_607
prod_4443,manufacturer_608,group_608
prod_3077,manufacturer_609,group_609
prod_6777,manufacturer_610,group_610
prod_1821,manufacturer_611,group_611
prod_1092,manufacturer_612,group_612
prod_6229,manufacturer_613,group_613
prod_4623,manufacturer_614,group_614
prod_1360,manufacturer_615,group_615
prod_3336,manufacturer_616,group_616
prod_7582,manufacturer_617,group_617
prod_8945,manufacturer_618,group_618
prod_7472,manufacturer_619,group_619
prod_7139,manufacturer_620,group_620
prod_3018,manufacturer_621,group_621
prod_3491,manufacturer_622,group_622
prod_4388,manufacturer_623,group_623
prod_7739,manufacturer_624,group_624
prod_5030,manufacturer_625,group_625
prod_3611,manufacturer_626,group_626
prod_1969,manufacturer_627,group_627
prod_2301,manufacturer_628,group_628
prod_7641,manufacturer_629,group_629
prod_5618,manufacturer_630,group_630
prod_3156,manufacturer_631,group_631
prod_4396,manufacturer_632,group_632
prod_4853,manufacturer_633,group_633
prod_4051,manufacturer_634,group_634
prod_8828,manufacturer_635,group_635
prod_7999,manufacturer_636,group_636
prod_5221,manufacturer_637,group_637
prod_4444,manufacturer_638,group_638
prod_3859,manufacturer_639,group_639
prod_8969,manufacturer_640,group_640
prod_8961,manufacturer_641,group_641
prod_2617,manufacturer_642,group_642
prod_9022,manufacturer_643,group_643
prod_9974,manufacturer_644,group_644
prod_8197,manufacturer_645,group_645
prod_4715,manufacturer_646,group_646
prod_7337,manufacturer_647,group_647
prod_7925,manufacturer_648,group_648
prod_1553,manufacturer_649,group_649
prod_7005,manufacturer_650,group_650
prod_8371,manufacturer_651,group_651
prod_5174,manufacturer_652,group_652
prod_2110,manufacturer_653,group_653
prod_8609,manufacturer_654,group_654
prod_9837,manufacturer_655,group_655
prod_9111,manufacturer_656,group_656
prod_4354,manufacturer_657,group_657
prod_6186,manufacturer_658,group_658
prod_2066,manufacturer_659,group_659
prod_8430,manufacturer_660,group_660
prod_5502,manufacturer_661,group_661
prod_9146,manufacturer_662,group_662
prod_1676,manufacturer_663,group_663
prod_3302,manufacturer_664,group_664
prod_9569,manufacturer_665,group_665
prod_2687,manufacturer_666,group_666
prod_5308,manufacturer_667,group_667
prod_2941,manufacturer_668,group_668
prod_2246,manufacturer_669,group_669
prod_9152,manufacturer_670,group_670
prod_8136,manufacturer_671,group_671
prod_1319,manufacturer_672,group_672
prod_5132,manufacturer_673,group_673
prod_4085,manufacturer_674,group_674
prod_6142,manufacturer_675,group_675
prod_6693,manufacturer_676,group_676
prod_8127,manufacturer_677,group_677
prod_8356,manufacturer_678,group_678
prod_3310,manufacturer_679,group_679
prod_6762,manufacturer_680,group_680
prod_4457,manufacturer_681,group_681
prod_2159,manufacturer_682,group_682
prod_1995,manufacturer_683,group_683
prod_5377,manufacturer_684,group_684
prod_8529,manufacturer_685,group_685
prod_1108,manufacturer_686,group_686
prod_6254,manufacturer_687,group_687
prod_5434,manufacturer_688,group_688
prod_9902,manufacturer_689,group_689
prod_3488,manufacturer_690,group_690
prod_5453,manufacturer_691,group_691
prod_8105,manufacturer_692,group_692
prod_9728,manufacturer_693,group_693
prod_9210,manufacturer_694,group_694
prod_2504,manufacturer_695,group_695
prod_8434,manufacturer_696,group_696
prod_9458,manufacturer_697,group_697
prod_9454,manufacturer_698,group_698
prod_2102,manufacturer_699,group_699
prod_7993,manufacturer_700,group_700
prod_8942,manufacturer_701,group_701
prod_4872,manufacturer_702,group_702
prod_8093,manufacturer_703,group_703
prod_4591,manufacturer_704,group_704
prod_2766,manufacturer_705,group_705
prod_8806,manufacturer_706,group_706
prod_3925,manufacturer_707,group_707
prod_8424,manufacturer_708,group_708
prod_8485,manufacturer_709,group_709
prod_8514,manufacturer_710,group_710
prod_5094,manufacturer_711,group_711
prod_4902,manufacturer_712,group_712
prod_5877,manufacturer_713,group_713
prod_7061,manufacturer_714,group_714
prod_4390,manufacturer_715,group_715
prod_1250,manufacturer_716,group_716
prod_3971,manufacturer_717,group_717
prod_7670,manufacturer_718,group_718
prod_5116,manufacturer_719,group_719
prod_7561,manufacturer_720,group_720
prod_5017,manufacturer_721,group_721
prod_8067,manufacturer_722,group_722
prod_4239,manufacturer_723,group_723
prod_6076,manufacturer_724,group_724
prod_9907,manufacturer_725,group_725
prod_5510,manufacturer_726,group_726
prod_4712,manufacturer_727,group_727
prod_9191,manufacturer_728,group_728
prod_5767,manufacturer_729,group_729
prod_7355,manufacturer_730,group_730
prod_4879,manufacturer_731,group_731
prod_6926,manufacturer_732,group_732
prod_6307,manufacturer_733,group_733
prod_1967,manufacturer_734,group_734
prod_5782,manufacturer_735,group_735
prod_6092,manufacturer_736,group_736
prod_7989,manufacturer_737,group_737
prod_1833,manufacturer_738,group_738
prod_7779,manufacturer_739,group_739
prod_2370,manufacturer_740,group_740
prod_5495,manufacturer_741,group_741
prod_9127,manufacturer_742,group_742
prod_5541,manufacturer_743,group_743
prod_8216,manufacturer_744,group_744
prod_6972,manufacturer_745,group_745
prod_5038,manufacturer_746,group_746
prod_6232,manufacturer_747,group_747
prod_9539,manufacturer_748,group_748
prod_2705,manufacturer_749,group_749
prod_4560,manufacturer_750,group_750
prod_8559,manufacturer_751,group_751
prod_9820,manufacturer_752,group_752
prod_6091,manufacturer_753,group_753
prod_2245,manufacturer_754,group_754
prod_2663,manufacturer_755,group_755
prod_7287,manufacturer_756,group_756
prod_4479,manufacturer_757,group_757
prod_2781,manufacturer_758,group_758
prod_7852,manufacturer_759,group_759
prod_8844,manufacturer_760,group_760
prod_8923,manufacturer_761,group_761
prod_8680,manufacturer_762,group_762
prod_5158,manufacturer_763,group_763
prod_7245,manufacturer_764,group_764
prod_5201,manufacturer_765,group_765
prod_8744,manufacturer_766,group_766
prod_6242,manufacturer_767,group_767
prod_8841,manufacturer_768,group_768
prod_1981,manufacturer_769,group_769
prod_4518,manufacturer_770,group_770
prod_1112,manufacturer_771,group_771
prod_6514,manufacturer_772,group_772
prod_7379,manufacturer_773,group_773
prod_6515,manufacturer_774,group_774
prod_5489,manufacturer_775,group_775
prod_9769,manufacturer_776,group_776
